,Stock,ML,gain_pred,index_maximo_pred,n_steps_in,n_steps_out,interval,samples_test
330,MDIA3,convLSTM1D,25.661630951921378,4,21,5,1d,1
331,MDIA3,convLSTM2D,31.36269331602528,2,21,5,1d,1
332,MEAL3,LSTM,0.0,0,21,5,1d,1
333,MEAL3,BidirectionalLSTM,0.0,0,21,5,1d,1
334,MEAL3,convLSTM1D,0.0,0,21,5,1d,1
335,MEAL3,convLSTM2D,0.0,0,21,5,1d,1
336,MGLU3,LSTM,0.0,0,21,5,1d,1
337,MGLU3,BidirectionalLSTM,0.0,0,21,5,1d,1
338,MGLU3,convLSTM1D,0.0,0,21,5,1d,1
339,MGLU3,convLSTM2D,0.0,0,21,5,1d,1
340,MILS3,LSTM,24.090671679223647,3,21,5,1d,1
341,MILS3,BidirectionalLSTM,13.86046546026015,1,21,5,1d,1
342,MILS3,convLSTM1D,0.0,0,21,5,1d,1
343,MILS3,convLSTM2D,0.0,0,21,5,1d,1
344,MRFG3,LSTM,0.0,0,21,5,1d,1
345,MRFG3,BidirectionalLSTM,4.788993608218173,0,21,5,1d,1
346,MRFG3,convLSTM1D,0.27747188419943547,4,21,5,1d,1
347,MRFG3,convLSTM2D,0.0,0,21,5,1d,1
348,MRVE3,LSTM,3.566093626385448,0,21,5,1d,1
349,MRVE3,BidirectionalLSTM,5.60659038757751,0,21,5,1d,1
350,MRVE3,convLSTM1D,16.94665805610242,3,21,5,1d,1
351,MRVE3,convLSTM2D,0.0,0,21,5,1d,1
352,MULT3,LSTM,37.137485480386026,0,21,5,1d,1
353,MULT3,BidirectionalLSTM,50.236560877327804,3,21,5,1d,1
354,MULT3,convLSTM1D,21.650169917330846,0,21,5,1d,1
355,MULT3,convLSTM2D,0.0,0,21,5,1d,1
356,MYPK3,LSTM,33.187899993044525,3,21,5,1d,1
357,MYPK3,BidirectionalLSTM,25.18648769608606,2,21,5,1d,1
358,MYPK3,convLSTM1D,9.48539507997092,1,21,5,1d,1
359,MYPK3,convLSTM2D,0.0,0,21,5,1d,1
360,NEOE3,LSTM,80.94488341232838,0,21,5,1d,1
361,NEOE3,BidirectionalLSTM,83.97529075885653,4,21,5,1d,1
362,NEOE3,convLSTM1D,48.53613097092211,4,21,5,1d,1
363,NEOE3,convLSTM2D,50.02160565606489,1,21,5,1d,1
364,NTCO3,LSTM,39.16236913611746,0,21,5,1d,1
365,NTCO3,BidirectionalLSTM,53.85985820211915,0,21,5,1d,1
366,NTCO3,convLSTM1D,37.01819806781589,3,21,5,1d,1
367,NTCO3,convLSTM2D,15.856213065294114,2,21,5,1d,1
368,OIBR3,LSTM,0.0,0,21,5,1d,1
369,OIBR3,BidirectionalLSTM,0.0,0,21,5,1d,1
370,OIBR3,convLSTM1D,0.0,0,21,5,1d,1
371,OIBR3,convLSTM2D,0.0,0,21,5,1d,1
372,OMGE3,LSTM,27.546754908931753,3,21,5,1d,1
373,OMGE3,BidirectionalLSTM,12.743601641299012,4,21,5,1d,1
374,OMGE3,convLSTM1D,29.524962702065327,3,21,5,1d,1
375,OMGE3,convLSTM2D,20.598676833768113,4,21,5,1d,1
376,PSSA3,LSTM,37.29381014687297,0,21,5,1d,1
377,PSSA3,BidirectionalLSTM,52.61649075615402,4,21,5,1d,1
378,PSSA3,convLSTM1D,32.32816440522711,2,21,5,1d,1
